128,Group Order,Screen,Type,Award,Print,Qty,Prefix,Screening,Media,Item,Team,Film,,People,
,,,nomination,,pre-gala,3,nomination,,,Best Cinematography Nominee,Extra Rad,Tango,,"Will Severson, Sean McDannold, & Maximillian Newhan",
,,,nomination,,pre-gala,1,nomination,,,Best Directing Nominee,Team Roller Pictures,A Cut Above,,Flash Kellish,
,,,nomination,,pre-gala,1,nomination,,,Best Directing Nominee,Phaneron Films,Hollow Hearts,,Peter Kowalchuk,
,,,nomination,,pre-gala,2,nomination,,,Best Directing Nominee,Extra Rad,Tango,,Maximilian Newhan & Sean McDannold,
,,,nomination,,pre-gala,4,nomination,,,Best Directing Nominee,Dad Skeleton,The Good Good,,"Jacob Rozansky, Harrison Webb, Paige Chadwick, & Joel Arriola",
,,,nomination,,pre-gala,1,nomination,,,Best Directing Nominee,No Umbrella Studios,WondRFULL,,Ben Wilson,
,,,nomination,,pre-gala,2,nomination,,,Best Editing Nominee,The Filmigos,F.I.R.E. In My Heart,,Tyler Diffie & Dan Goldman,
,,,nomination,,pre-gala,1,nomination,,,Best Editing Nominee,Jordan Does Productions,Quality Trauma Bonding,,Mauricio Navarro,
,,,nomination,,pre-gala,1,nomination,,,Best Editing Nominee,FORA Productions,Room to Grieve,,Ivan Parascandolo,
,,,nomination,,pre-gala,1,nomination,,,Best Editing Nominee,Goon Squad,Signs of Life,,Greyson Joralemon,
,,,nomination,,pre-gala,1,nomination,,,Best Editing Nominee,State of Flux,Winds of Vengeance,,Jake Segraves,
,,,nomination,,pre-gala,1,nomination,,,Best Musical Score Nominee,Cane Toad Productions,Finest City Signs,,Jarrah Newman,
,,,nomination,,pre-gala,1,nomination,,,Best Musical Score Nominee,FORA Productions,Room to Grieve,,Ray Kim,
,,,nomination,,pre-gala,1,nomination,,,Best Musical Score Nominee,The K Concern,Tango for the Unseen,,Edward Spade,
,,,nomination,,pre-gala,1,nomination,,,Best Musical Score Nominee,All Kinds of Shoot,Tied up in the Yard,,Alan Perales,
,,,nomination,,pre-gala,1,nomination,,,Best Musical Score Nominee,State of Flux,Winds of Vengeance,,David Dudas,
,,,nomination,,pre-gala,2,nomination,,,Best Screenwriting Nominee,Team Roller Pictures,A Cut Above,,Alex Guillen & Michael Scott,
,,,nomination,,pre-gala,2,nomination,,,Best Screenwriting Nominee,Broken Leg Meets Surya Deva,Late Checkout,,Scott W. Peterson & Andrew Van Camp,
,,,nomination,,pre-gala,2,nomination,,,Best Screenwriting Nominee,Business Socks,Slice,,Rachel Kelly & Justin Hundall,
,,,nomination,,pre-gala,3,nomination,,,Best Screenwriting Nominee,Extra Rad,Tango,,"Kellen Crawford, Will Severson, & Maximillian Newhan",
,,,nomination,,pre-gala,3,nomination,,,Best Screenwriting Nominee,Dad Skeleton,The Good Good,,"Joel Arriola, Paige Chadwick, & Jacob Rozansky",
,,,selection,,pre-gala,1,selection,,,Best of 2025,Team Roller Pictures,A Cut Above,,,TEAM ROLLER PICTURES
,,,selection,,pre-gala,1,selection,,,Best of 2025,The Filmigos,F.I.R.E. In My Heart,,,THE FILMIGOS
,,,selection,,pre-gala,1,selection,,,Best of 2025,Cane Toad Productions,Finest City Signs,,,CANE TOAD PRODUCTIONS
,,,selection,,pre-gala,1,selection,,,Best of 2025,Phaneron Films,Hollow Hearts,,,PHANERON FILMS
,,,selection,,pre-gala,1,selection,,,Best of 2025,Broken Leg Meets Surya Deva,Late Checkout,,,BROKEN LEG MEETS SURYA DEVA
,,,selection,,pre-gala,1,selection,,,Best of 2025,Jordan Does Productions,Quality Trauma Bonding,,,JORDAN DOES PRODUCTIONS
,,,selection,,pre-gala,1,selection,,,Best of 2025,FORA Productions,Room to Grieve,,,FORA PRODUCTIONS
,,,selection,,pre-gala,1,selection,,,Best of 2025,Goon Squad,Signs of Life,,,GOON SQUAD
,,,selection,,pre-gala,1,selection,,,Best of 2025,Business Socks,Slice,,,BUSINESS SOCKS
,,,selection,,pre-gala,1,selection,,,Best of 2025,Extra Rad,Tango,,,EXTRA RAD
,,,selection,,pre-gala,1,selection,,,Best of 2025,And Company! Productions,The Clown Closet,,,AND COMPANY! PRODUCTIONS
,,,selection,,pre-gala,1,selection,,,Best of 2025,Dad Skeleton,The Good Good,,,DAD SKELETON
,,,selection,,pre-gala,1,selection,,,Best of 2025,Rorbach With Clark,The South Mission Inn,,,RORBACH WITH CLARK
,,,selection,,pre-gala,1,selection,,,Best of 2025,State of Flux,Winds of Vengeance,,,STATE OF FLUX
,,,selection,,pre-gala,1,selection,,,Best of 2025,No Umbrella Studios,WondRFULL,,,NO UMBRELLA STUDIOS
